valid_time,sm_swvl1
2024-05-01,0.13704562
2024-05-02,0.1370565
2024-05-03,0.13705438
2024-05-04,0.13704583
2024-05-05,0.13704506
2024-05-06,0.13701645
2024-05-07,0.13701913
2024-05-08,0.13718839
2024-05-09,0.13818853
2024-05-10,0.13866262
2024-05-11,0.13952476
2024-05-12,0.15802602
2024-05-13,0.16862406
2024-05-14,0.15870194
2024-05-15,0.15153742
2024-05-16,0.14661536
2024-05-17,0.14320488
2024-05-18,0.14076759
2024-05-19,0.13912648
2024-05-20,0.13821484
2024-05-21,0.137746
2024-05-22,0.13791475
2024-05-23,0.13813435
2024-05-24,0.13790162
2024-05-25,0.13756266
2024-05-26,0.13729997
2024-05-27,0.13714671
2024-05-28,0.13706346
2024-05-29,0.1370132
2024-05-30,0.13701634
2024-05-31,0.13698964
2024-06-01,0.13697056
2024-06-02,0.13696314
2024-06-03,0.13697056
2024-06-04,0.13697752
2024-06-05,0.13697258
2024-06-06,0.13697371
2024-06-07,0.1369883
2024-06-08,0.13698763
2024-06-09,0.13697696
2024-06-10,0.1369699
2024-06-11,0.13697237
2024-06-12,0.13697742
2024-06-13,0.13698
2024-06-14,0.13736424
2024-06-15,0.13750982
2024-06-16,0.13727608
2024-06-17,0.13714577
2024-06-18,0.13709407
2024-06-19,0.13709374
2024-06-20,0.13869748
2024-06-21,0.14184798
2024-06-22,0.1522478
2024-06-23,0.1599492
2024-06-24,0.22602773
2024-06-25,0.3422624
2024-06-26,0.3484198
2024-06-27,0.39262822
2024-06-28,0.4151774
2024-06-29,0.42505234
2024-06-30,0.42815232
2024-07-01,0.41269433
2024-07-02,0.41947168
2024-07-03,0.4112955
2024-07-04,0.40552717
2024-07-05,0.42402148
2024-07-06,0.41984046
2024-07-07,0.4192906
2024-07-08,0.40122658
2024-07-09,0.3840108
2024-07-10,0.4175728
2024-07-11,0.4056406
2024-07-12,0.3974659
2024-07-13,0.39888826
2024-07-14,0.39180842
2024-07-15,0.37629306
2024-07-16,0.36214676
2024-07-17,0.35182494
2024-07-18,0.36008215
2024-07-19,0.40715614
2024-07-20,0.40093088
2024-07-21,0.3790111
2024-07-22,0.36340398
2024-07-23,0.36426497
2024-07-24,0.40252072
2024-07-25,0.4027198
2024-07-26,0.41087085
2024-07-27,0.40467447
2024-07-28,0.40494978
2024-07-29,0.3814348
2024-07-30,0.37972373
2024-07-31,0.4020383
2024-08-01,0.4179419
2024-08-02,0.4128616
2024-08-03,0.400517
2024-08-04,0.38940156
2024-08-05,0.37564117
2024-08-06,0.3660307
2024-08-07,0.40170097
2024-08-08,0.41662753
2024-08-09,0.417984
2024-08-10,0.416125
2024-08-11,0.41943878
2024-08-12,0.40735665
2024-08-13,0.41922286
2024-08-14,0.41913328
2024-08-15,0.411041
2024-08-16,0.3973441
2024-08-17,0.39852053
2024-08-18,0.40011942
2024-08-19,0.42309067
2024-08-20,0.42227995
2024-08-21,0.4138129
2024-08-22,0.40591097
2024-08-23,0.40209436
2024-08-24,0.4094879
2024-08-25,0.3955872
2024-08-26,0.41044348
2024-08-27,0.42643625
2024-08-28,0.41370523
2024-08-29,0.40064296
2024-08-30,0.40571147
2024-08-31,0.38620633
2024-09-01,0.38272184
2024-09-02,0.37869403
2024-09-03,0.36770266
2024-09-04,0.38497
2024-09-05,0.42271322
2024-09-06,0.40937853
2024-09-07,0.40420657
2024-09-08,0.40075105
2024-09-09,0.40250418
2024-09-10,0.42072186
2024-09-11,0.41905838
2024-09-12,0.4174551
2024-09-13,0.39497778
2024-09-14,0.3735708
2024-09-15,0.35706937
2024-09-16,0.34526563
2024-09-17,0.37995344
2024-09-18,0.41963047
2024-09-19,0.38877505
2024-09-20,0.36719278
2024-09-21,0.352629
2024-09-22,0.3405066
2024-09-23,0.32853797
2024-09-24,0.31792158
2024-09-25,0.36277086
2024-09-26,0.37438864
2024-09-27,0.40107447
2024-09-28,0.42249584
2024-09-29,0.41515312
2024-09-30,0.3926543
2024-10-01,0.3760137
2024-10-02,0.36082047
2024-10-03,0.34615767
2024-10-04,0.33313572
2024-10-05,0.32339296
2024-10-06,0.3196993
2024-10-07,0.31711665
2024-10-08,0.3153987
2024-10-09,0.30718857
2024-10-10,0.2978593
2024-10-11,0.28825068
2024-10-12,0.2776057
2024-10-13,0.27227432
2024-10-14,0.26850057
2024-10-15,0.26156974
2024-10-16,0.2540719
2024-10-17,0.24639206
2024-10-18,0.23924804
2024-10-19,0.23184934
2024-10-20,0.22454052
2024-10-21,0.21889429
2024-10-22,0.2137674
2024-10-23,0.20810087
2024-10-24,0.20293148
2024-10-25,0.19801793
2024-10-26,0.19333136
2024-10-27,0.1893928
2024-10-28,0.18679242
2024-10-29,0.18413132
2024-10-30,0.18044516
2024-10-31,0.17614134
2024-11-01,0.17196472
2024-11-02,0.16861093
2024-11-03,0.16598682
2024-11-04,0.16393983
2024-11-05,0.16354893
2024-11-06,0.16269381
2024-11-07,0.16153967
2024-11-08,0.16117354
2024-11-09,0.15981469
2024-11-10,0.15821369
2024-11-11,0.15687588
2024-11-12,0.15575191
2024-11-13,0.1545436
2024-11-14,0.15340243
2024-11-15,0.1524459
2024-11-16,0.15147258
2024-11-17,0.1507439
2024-11-18,0.15015943
2024-11-19,0.14956981
2024-11-20,0.14916456
2024-11-21,0.14880696
2024-11-22,0.14841843
2024-11-23,0.14803998
2024-11-24,0.14762026
2024-11-25,0.14712915
2024-11-26,0.14668545
2024-11-27,0.146286
2024-11-28,0.1459586
2024-11-29,0.14568694
2024-11-30,0.14545827
2024-12-01,0.14522243
2024-12-02,0.14501025
2024-12-03,0.14479637
2024-12-04,0.14450048
2024-12-05,0.1441733
2024-12-06,0.14387625
2024-12-07,0.14366853
2024-12-08,0.1434806
2024-12-09,0.14336982
2024-12-10,0.14330783
2024-12-11,0.14314088
2024-12-12,0.14299409
2024-12-13,0.14287661
2024-12-14,0.1427432
2024-12-15,0.14265613
2024-12-16,0.14254731
2024-12-17,0.14243048
2024-12-18,0.14223224
2024-12-19,0.14204104
2024-12-20,0.14183325
2024-12-21,0.14166303
2024-12-22,0.1415304
2024-12-23,0.14158197
2024-12-24,0.16138758
2024-12-25,0.18311724
2024-12-26,0.18031494
2024-12-27,0.17695929
2024-12-28,0.20478152
2024-12-29,0.21601586
2024-12-30,0.20897287
2024-12-31,0.20329839
