valid_time,sm_swvl1
2024-01-01,0.16176139
2024-01-02,0.16133662
2024-01-03,0.21251044
2024-01-04,0.2167293
2024-01-05,0.21206754
2024-01-06,0.20841114
2024-01-07,0.20372364
2024-01-08,0.19833498
2024-01-09,0.19359025
2024-01-10,0.18932654
2024-01-11,0.18518138
2024-01-12,0.1814154
2024-01-13,0.17808825
2024-01-14,0.17539425
2024-01-15,0.1725744
2024-01-16,0.16995797
2024-01-17,0.1678948
2024-01-18,0.1660462
2024-01-19,0.16435505
2024-01-20,0.16300806
2024-01-21,0.16172613
2024-01-22,0.16094345
2024-01-23,0.15998879
2024-01-24,0.15883197
2024-01-25,0.15755665
2024-01-26,0.15633069
2024-01-27,0.15511061
2024-01-28,0.1539198
2024-01-29,0.1527533
2024-01-30,0.15173787
2024-01-31,0.15082476
2024-02-01,0.1538121
2024-02-02,0.15376659
2024-02-03,0.1523356
2024-02-04,0.17550263
2024-02-05,0.29748493
2024-02-06,0.27588618
2024-02-07,0.2527339
2024-02-08,0.2349808
2024-02-09,0.22130287
2024-02-10,0.21042347
2024-02-11,0.20103939
2024-02-12,0.19276173
2024-02-13,0.18575552
2024-02-14,0.18544117
2024-02-15,0.18015873
2024-02-16,0.17396729
2024-02-17,0.16842435
2024-02-18,0.1636232
2024-02-19,0.1594498
2024-02-20,0.15924947
2024-02-21,0.16962042
2024-02-22,0.16730717
2024-02-23,0.16293819
2024-02-24,0.1586498
2024-02-25,0.15523694
2024-02-26,0.1524912
2024-02-27,0.15072362
2024-02-28,0.14896756
2024-02-29,0.14739376
2024-03-01,0.1459557
2024-03-02,0.18495806
2024-03-03,0.39148182
2024-03-04,0.32832092
2024-03-05,0.29039526
2024-03-06,0.26551455
2024-03-07,0.24664703
2024-03-08,0.23001346
2024-03-09,0.2154641
2024-03-10,0.2032816
2024-03-11,0.19287139
2024-03-12,0.18359019
2024-03-13,0.17518725
2024-03-14,0.16832888
2024-03-15,0.16245319
2024-03-16,0.15792066
2024-03-17,0.15458828
2024-03-18,0.15192027
2024-03-19,0.14979836
2024-03-20,0.14807263
2024-03-21,0.1466597
2024-03-22,0.14537029
2024-03-23,0.14399093
2024-03-24,0.14263113
2024-03-25,0.14148727
2024-03-26,0.14062075
2024-03-27,0.13987675
2024-03-28,0.13922518
2024-03-29,0.13876265
2024-03-30,0.1383938
2024-03-31,0.1381074
2024-04-01,0.13787957
2024-04-02,0.13772644
2024-04-03,0.13758543
2024-04-04,0.13746966
2024-04-05,0.137376
2024-04-06,0.13730767
2024-04-07,0.13726404
2024-04-08,0.13722423
2024-04-09,0.13728702
2024-04-10,0.13736841
2024-04-11,0.13733144
2024-04-12,0.1379393
2024-04-13,0.14025064
